,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
60,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,27,23,2007,22.3,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.3,1.5,0.05,0.01,0.07,0.05,0.07,Matches,01834aa0
61,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,31,28,2378,26.4,8,4,8,0,0,5,0,0.30,0.15,0.45,0.30,0.45,8.9,8.9,4.1,12.9,0.34,0.15,0.49,0.34,0.49,Matches,c68da769
62,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,23,22,1898,21.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.1,0.04,0.01,0.05,0.04,0.05,Matches,7c473e12
63,Julian Brandt,de GER,MFFW,Dortmund,25,1996,31,22,2078,23.1,9,8,9,0,0,3,0,0.39,0.35,0.74,0.39,0.74,5.6,5.6,5.6,11.2,0.24,0.24,0.49,0.24,0.49,Matches,a167537f
64,Iker Bravo,es ESP,FW,Leverkusen,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,db8c8860
65,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d28339cb
66,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,1,0,21,0.2,0,1,0,0,0,0,0,0.00,4.29,4.29,0.00,4.29,0.0,0.0,0.4,0.4,0.00,1.91,1.91,0.00,1.91,Matches,d4a2533d
67,Brian Brobbey,nl NED,FWMF,RB Leipzig,19,2002,9,1,131,1.5,0,2,0,0,0,0,0,0.00,1.37,1.37,0.00,1.37,0.6,0.6,0.7,1.3,0.43,0.46,0.89,0.43,0.89,Matches,4c184730
68,John Brooks,us USA,DF,Wolfsburg,28,1993,31,29,2615,29.1,1,1,1,0,0,2,0,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.6,1.4,0.03,0.02,0.05,0.03,0.05,Matches,e27da244
69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,11,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.8,0.01,0.18,0.19,0.01,0.19,Matches,a7813ac4
70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,27,26,2183,24.3,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.3,0.3,1.8,2.1,0.01,0.07,0.09,0.01,0.09,Matches,f0a37d36
71,Jacob Bruun Larsen,dk DEN,FWMF,Hoffenheim,22,1998,25,9,812,9.0,4,0,4,0,0,1,0,0.44,0.00,0.44,0.44,0.44,2.9,2.9,2.6,5.5,0.32,0.29,0.60,0.32,0.60,Matches,4e204552
72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,25bdea4b
73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,3,0,27,0.3,1,0,1,0,0,0,0,3.33,0.00,3.33,3.33,3.33,0.4,0.4,0.0,0.4,1.20,0.00,1.20,1.20,1.20,Matches,05e2d5ea
