,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
494,Mickey van de Ven,nl NED,DF,Wolfsburg,20,2001,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8fe2a392
495,Vincent Vermeij,nl NED,MF,Freiburg,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7e629adc
496,Gabriel Vidovic,hr CRO,FWMF,Bayern Munich,17,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5360a956
497,Nick Viergever,nl NED,DF,Greuther Fürth,31,1989,23.7,0,2,1,50.0,0.08,0.04,0.00,0.00,5.7,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches,e38f1636
498,Andreas Voglsammer,de GER,FWMF,Union Berlin,29,1992,9.8,2,33,15,45.5,3.37,1.53,0.06,0.13,13.9,2,0,0,3.2,3.2,0.10,-1.2,-1.2,Matches,daa78200
499,Kevin Vogt,de GER,DF,Hoffenheim,29,1991,28.5,0,3,0,0.0,0.11,0.00,0.00,,30.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,1d8e9add
500,Aster Vranckx,be BEL,MF,Wolfsburg,18,2002,12.7,2,25,8,32.0,1.97,0.63,0.08,0.25,21.6,4,0,0,2.9,2.9,0.12,-0.9,-0.9,Matches,f86cd5df
501,Luca Waldschmidt,de GER,MFFW,Wolfsburg,25,1996,8.0,1,17,3,17.6,2.13,0.38,0.06,0.33,17.7,0,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches,e5a35ae9
502,Paul Wanner,de GER,FWMF,Bayern Munich,15,2005,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cb64672e
503,Wout Weghorst,nl NED,FW,Wolfsburg,28,1992,17.3,6,36,19,52.8,2.09,1.10,0.14,0.26,11.9,1,1,2,7.7,5.9,0.17,-1.7,-0.9,Matches,c4e87b8b
504,Noah Weißhaupt,de GER,MFFW,Freiburg,19,2001,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dd676a97
505,Silvan Widmer,ch SUI,DF,Mainz 05,28,1993,32.4,4,22,8,36.4,0.68,0.25,0.18,0.50,16.2,0,0,0,2.7,2.7,0.12,+1.3,+1.3,Matches,f68b64fc
506,Jetro Willems,nl NED,DF,Greuther Fürth,27,1994,17.8,1,11,3,27.3,0.62,0.17,0.09,0.33,19.5,1,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,9050ddc4
507,Patrick Wimmer,at AUT,FWMF,Arminia,20,2001,22.8,3,56,15,26.8,2.46,0.66,0.05,0.20,20.2,3,0,0,4.1,4.1,0.07,-1.1,-1.1,Matches,cb11b429
508,Jonas Wind,dk DEN,FWMF,Wolfsburg,22,1999,13.1,5,36,16,44.4,2.75,1.22,0.14,0.31,14.5,0,0,0,5.1,5.1,0.14,-0.1,-0.1,Matches,2077ae86
509,Marten Winkler,de GER,MF,Hertha BSC,18,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0d515ef
510,Frederik Winther,dk DEN,DF,Augsburg,20,2001,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a1257b5e
511,Florian Wirtz,de GER,MFFW,Leverkusen,18,2003,20.6,7,36,13,36.1,1.75,0.63,0.19,0.54,17.5,1,0,0,6.2,6.2,0.17,+0.8,+0.8,Matches,e7fcf289
512,Axel Witsel,be BEL,MFDF,Dortmund,32,1989,21.6,2,8,2,25.0,0.37,0.09,0.25,1.00,20.8,0,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches,5dfc6ad5
513,Hannes Wolf,at AUT,FWMF,M'Gladbach,22,1999,3.4,0,6,2,33.3,1.76,0.59,0.00,0.00,19.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,be42a291
514,Marius Wolf,de GER,DFFW,Dortmund,26,1995,14.7,3,20,10,50.0,1.36,0.68,0.15,0.30,15.8,0,0,0,2.4,2.4,0.12,+0.6,+0.6,Matches,fa661778
515,Luca Wollschläger,de GER,FWMF,Hertha BSC,18,2003,0.2,0,1,0,0.0,5.63,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,24b8e7bd
516,Jeong Woo-yeong,kr KOR,FWMF,Freiburg,21,1999,19.8,5,51,19,37.3,2.58,0.96,0.10,0.26,16.3,0,0,0,6.0,6.0,0.12,-1.0,-1.0,Matches,6190474d
517,Joscha Wosz,de GER,DF,RB Leipzig,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,80c9e555
518,Dan-Axel Zagadou,fr FRA,DF,Dortmund,22,1999,10.6,0,4,1,25.0,0.38,0.09,0.00,0.00,9.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,a4effc55
519,Denis Zakaria,ch SUI,MFDF,M'Gladbach,24,1996,15.5,2,18,4,22.2,1.16,0.26,0.11,0.50,24.8,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches,384d58d9
520,Deyovaisio Zeefuik,nl NED,DF,Hertha BSC,23,1998,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58a2e9f6
521,Robin Zentner,de GER,GK,Mainz 05,26,1994,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c4bf6ba
522,Andi Zeqiri,ch SUI,FWMF,Augsburg,22,1999,11.3,2,30,8,26.7,2.66,0.71,0.07,0.25,16.8,0,0,0,3.0,3.0,0.10,-1.0,-1.0,Matches,d01231f0
523,Simon Zoller,de GER,FW,Bochum,30,1991,6.6,3,11,7,63.6,1.66,1.06,0.27,0.43,11.6,0,0,0,1.6,1.6,0.15,+1.4,+1.4,Matches,29f7cfd9
