,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
429,Nico Schulz,de GER,DF,Dortmund,28,1993,9.3,15,1.61,11,2,1,0,0,1,2,0.22,2,0,0,0,0,0,Matches,fa274d97
430,Marvin Schwäbe,de GER,GK,Köln,26,1995,21.0,2,0.10,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,87436846
431,Alexander Schwolow,de GER,GK,Hertha BSC,29,1992,24.2,2,0.08,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0d55d942
432,Paul Seguin,de GER,MF,Greuther Fürth,26,1995,23.4,55,2.35,43,6,1,2,3,0,4,0.17,4,0,0,0,0,0,Matches,8872ed17
433,Davie Selke,de GER,FW,Hertha BSC,26,1995,11.2,16,1.44,14,0,1,1,0,0,2,0.18,2,0,0,0,0,0,Matches,1238a3f9
434,Lion Semić,de GER,DF,Dortmund,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,87ebd8c9
435,Suat Serdar,de GER,MFFW,Hertha BSC,24,1997,24.6,54,2.19,32,0,8,3,7,4,2,0.08,1,0,0,0,1,0,Matches,b3325a30
436,Janni Serra,de GER,FW,Arminia,23,1998,12.4,19,1.53,14,0,1,3,1,0,3,0.24,1,0,1,1,0,0,Matches,40b58bfc
437,Zidan Sertdemir,dk DEN,MFFW,Leverkusen,16,2005,0.2,1,5.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,eec1f7f4
438,Nils Seufert,de GER,MF,Greuther Fürth,24,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0da32a38
439,Kiliann Sildillia,fr FRA,DFMF,Freiburg,19,2002,1.9,5,2.63,4,0,0,0,0,1,1,0.53,1,0,0,0,0,0,Matches,313254a3
440,André Silva,pt POR,FW,RB Leipzig,25,1995,23.1,51,2.21,33,0,4,8,4,2,14,0.61,9,0,1,3,1,0,Matches,3effaa34
441,Mohamed Simakan,fr FRA,DF,RB Leipzig,21,2000,22.3,21,0.94,15,0,0,2,1,3,2,0.09,1,0,0,0,1,0,Matches,fcb27134
442,Daley Sinkgraven,nl NED,DF,Leverkusen,26,1995,3.9,7,1.79,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,73000a79
443,Tobias Sippel,de GER,GK,M'Gladbach,33,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0d8a37c2
444,Hugo Siquet,be BEL,DF,Freiburg,19,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c6cf860f
445,Ellyes Skhiri,tn TUN,MF,Köln,26,1995,20.2,30,1.48,26,0,0,0,0,4,1,0.05,0,0,0,0,0,1,Matches,c2211709
446,Robert Skov,dk DEN,FWDF,Hoffenheim,25,1996,4.1,16,3.91,7,4,0,4,0,1,3,0.73,1,0,0,2,0,0,Matches,ff98492b
447,Danilo Soares,br BRA,DF,Bochum,29,1991,28.5,59,2.07,41,5,2,0,6,5,5,0.18,4,0,0,0,1,0,Matches,c05f2f8c
448,Yann Sommer,ch SUI,GK,M'Gladbach,32,1988,33.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,420c18a1
449,Borna Sosa,hr CRO,DFFW,Stuttgart,23,1998,27.8,114,4.11,71,28,5,4,5,1,15,0.54,11,2,1,0,1,0,Matches,af0d79a9
