,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
72,Jeremie Boga,ci CIV,FWMF,Sassuolo,24,1997,7.4,7,4,1,2,4,2,3,66.7,1,3,0,3,2,9,1,1,Matches,fe012aca
73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,6,3,6,0,0,4,8,50.0,4,3,2,1,6,12,21,0,Matches,cb678320
74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,15,9,4,9,2,10,20,50.0,10,17,3,14,12,27,14,0,Matches,c83c203f
75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,33,17,12,16,5,21,46,45.7,25,20,2,18,14,47,9,1,Matches,d995ed27
76,Federico Bonazzoli,it ITA,FWMF,Salernitana,24,1997,20.7,24,12,9,8,7,6,25,24.0,19,17,1,16,6,30,7,0,Matches,bf57eaab
77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,25,16,16,7,2,13,14,92.9,1,22,7,15,16,41,35,0,Matches,fb77bfef
78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,14,5,4,10,0,8,13,61.5,5,22,17,5,26,40,82,0,Matches,52ec54d0
79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,5,1,2,3,0,3,11,27.3,8,7,6,1,3,8,10,0,Matches,0d077b88
80,Edoardo Bove,it ITA,MFDF,Roma,19,2002,0.8,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0,Matches,ae94a6c5
81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,9,5,5,1,3,3,21,14.3,18,16,1,15,4,13,7,1,Matches,d4a2533d
82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,49,24,27,22,0,18,28,64.3,10,54,23,31,105,154,137,0,Matches,5fd5ed86
83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,77,45,34,35,8,34,68,50.0,34,28,10,18,37,114,36,2,Matches,33b8d077
84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches,59f2d958
85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,20,9,9,8,3,9,13,69.2,4,12,6,6,31,51,44,0,Matches,4ae67f27
86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,53,28,27,20,6,28,63,44.4,35,45,13,32,21,74,30,1,Matches,4a0b7f07
87,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,2,1,1,0,1,0,0,,0,1,1,0,1,3,1,0,Matches,e34e086c
88,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,15,6,8,4,3,8,8,100.0,0,7,2,5,8,23,9,0,Matches,dd86e8e4
89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,13,7,5,5,3,4,12,33.3,8,12,3,9,14,27,21,0,Matches,e94d79e3
90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,3,3,0,2,1,0,1,0.0,1,1,0,1,0,3,4,0,Matches,93b891d1
91,Felipe Caicedo,ec ECU,FWDF,Inter,32,1988,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,93b891d1
