,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
531,Milan Škriniar,sk SVK,DF,Inter,26,1995,35,35,3150,35.0,3,0,3,0,0,3,0,0.09,0.00,0.09,0.09,0.09,3.3,3.3,0.7,4.0,0.09,0.02,0.11,0.09,0.11,Matches,30f5ffa9
532,Chris Smalling,eng ENG,DF,Roma,31,1989,27,23,2091,23.2,3,0,3,0,0,0,0,0.13,0.00,0.13,0.13,0.13,2.5,2.5,0.6,3.1,0.11,0.02,0.13,0.11,0.13,Matches,b6964eb6
533,Brandon Soppy,fr FRA,DFMF,Udinese,19,2002,28,7,777,8.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.07,0.04,0.12,0.07,0.12,Matches,28f66c2e
534,Roberto Soriano,it ITA,MF,Bologna,30,1991,35,32,2622,29.1,0,4,0,0,0,6,2,0.00,0.14,0.14,0.00,0.14,2.3,2.3,4.8,7.1,0.08,0.17,0.24,0.08,0.24,Matches,9d4c45d6
535,Riccardo Sottil,it ITA,FW,Fiorentina,22,1999,24,14,1239,13.8,3,2,3,0,0,4,1,0.22,0.15,0.36,0.22,0.36,2.9,2.9,2.4,5.3,0.21,0.17,0.38,0.21,0.38,Matches,94816803
536,Matìas Soulé,ar ARG,FW,Juventus,18,2003,2,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.55,0.00,1.55,1.55,1.55,Matches,c13ddd3e
537,Adama Soumaoro,fr FRA,DF,Bologna,29,1992,28,26,2266,25.2,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,0.04,0.01,0.05,0.04,0.05,Matches,7b075c75
538,Leonardo Spinazzola,it ITA,DF,Roma,28,1993,3,2,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.09,0.15,0.05,0.15,Matches,3626daea
539,Marco Sportiello,it ITA,GK,Atalanta,29,1992,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ac4003af
540,Luca Stanga,it ITA,DF,Milan,19,2002,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2967bcd0
541,Riccardo Stivanello,it ITA,DF,Bologna,17,2004,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,90e1d9dc
542,Petar Stojanović,si SVN,DF,Empoli,25,1995,33,32,2735,30.4,1,1,1,0,0,11,1,0.03,0.03,0.07,0.03,0.07,0.7,0.7,3.3,3.9,0.02,0.11,0.13,0.02,0.13,Matches,13b44b02
543,Thomas Strakosha,al ALB,GK,Lazio,26,1995,23,23,2070,23.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,339fe0e8
544,Stefan Strandberg,no NOR,DF,Salernitana,31,1990,11,11,933,10.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.2,0.09,0.03,0.11,0.09,0.11,Matches,6d5e62b0
545,Dávid Strelec,sk SVK,FWMF,Spezia,20,2001,10,7,502,5.6,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,0.5,0.5,1.0,1.5,0.09,0.18,0.27,0.09,0.27,Matches,2cb9486d
546,Kevin Strootman,nl NED,MF,Cagliari,31,1990,10,7,640,7.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.00,0.03,0.04,0.00,0.04,Matches,ef2e5e1a
547,Jens Stryger Larsen,dk DEN,DF,Udinese,30,1991,11,8,684,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,0.9,1.5,0.09,0.11,0.20,0.09,0.20,Matches,f91e81c9
548,Leo Štulac,si SVN,MF,Empoli,26,1994,23,8,833,9.3,2,2,2,0,0,1,0,0.22,0.22,0.43,0.22,0.43,0.3,0.3,0.7,1.0,0.03,0.07,0.11,0.03,0.11,Matches,92948398
549,Stefano Sturaro,it ITA,MF,Genoa,28,1993,25,24,1766,19.6,0,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.03,0.05,0.08,0.03,0.08,Matches,2334478a
550,Isaac Success,ng NGA,FWMF,Udinese,25,1996,22,11,911,10.1,2,6,2,0,0,1,1,0.20,0.59,0.79,0.20,0.79,2.4,2.4,3.1,5.5,0.24,0.30,0.54,0.24,0.54,Matches,f573a8bf
551,Vladyslav Supriaha,ua UKR,FW,Sampdoria,21,2000,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,73affbb6
552,Bosko Sutalo,hr CRO,DF,Hellas Verona,21,2000,24,6,920,10.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,Matches,1d0bb7e4
553,Mattias Svanberg,se SWE,MF,Bologna,22,1999,36,31,2564,28.5,3,3,3,0,0,7,0,0.11,0.11,0.21,0.11,0.21,2.7,2.7,2.8,5.5,0.09,0.10,0.19,0.09,0.19,Matches,92d83c27
554,Michael Svoboda,at AUT,DF,Venezia,22,1998,18,13,1236,13.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.08,0.00,0.08,0.08,0.08,Matches,8abd174d
555,Wojciech Szczęsny,pl POL,GK,Juventus,31,1990,33,33,2970,33.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,01b8a2b2
556,Adrien Tameze,cm CMR,MFDF,Hellas Verona,27,1994,38,26,2574,28.6,4,2,4,0,0,4,0,0.14,0.07,0.21,0.14,0.21,1.5,1.5,2.4,3.9,0.05,0.09,0.14,0.05,0.14,Matches,8da74c05
557,Ciprian Tătărușanu,ro ROU,GK,Milan,35,1986,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b056e3da
558,Filippo Terracciano,it ITA,DF,Hellas Verona,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5cbb5ad6
559,Pietro Terracciano,it ITA,GK,Fiorentina,31,1990,32,31,2862,31.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,e1b0a70d
560,Aleksa Terzić,rs SRB,DF,Fiorentina,21,1999,14,1,274,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.4,0.4,0.00,0.12,0.12,0.00,0.12,Matches,3ef0a2d7
561,Tanner Tessmann,us USA,MF,Venezia,19,2001,20,6,680,7.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.09,0.03,0.13,0.09,0.13,Matches,ac277993
562,Arthur Theate,be BEL,DF,Bologna,21,2000,31,28,2424,26.9,2,1,2,0,0,6,0,0.07,0.04,0.11,0.07,0.11,1.9,1.9,0.4,2.3,0.07,0.02,0.08,0.07,0.08,Matches,df8d6029
563,Morten Thorsby,no NOR,MF,Sampdoria,25,1996,35,35,2943,32.7,3,1,3,0,0,10,0,0.09,0.03,0.12,0.09,0.12,3.6,3.6,1.5,5.0,0.11,0.05,0.15,0.11,0.15,Matches,d1b49282
564,Jeremy Toljan,de GER,DF,Sassuolo,26,1994,20,15,1399,15.5,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,1.1,1.3,0.01,0.07,0.08,0.01,0.08,Matches,a96e5dc0
565,Rafael Tolói,it ITA,DF,Atalanta,30,1990,20,16,1438,16.0,1,1,1,0,0,6,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,0.7,2.0,0.08,0.04,0.13,0.08,0.13,Matches,c56dc39e
566,Takehiro Tomiyasu,jp JPN,DF,Bologna,22,1998,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.67,0.67,0.00,0.67,Matches,b3af9be1
567,Fikayo Tomori,eng ENG,DF,Milan,23,1997,31,30,2718,30.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.7,2.2,0.05,0.02,0.07,0.05,0.07,Matches,7edfbb8a
