,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,36,1.81,28,3,2,0,3,0,5,0.25,5,0,0,0,0,0,Matches,247ed022
99,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,19,2002,2.5,7,2.79,5,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b6a1cdf9
100,Antonio Candreva,it ITA,MFFW,Sampdoria,34,1987,34.7,140,4.04,84,37,7,7,5,0,16,0.46,10,4,0,1,1,0,Matches,356c9002
101,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,1,0.51,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,07ea0ef2
102,Gianluca Caprari,it ITA,MFFW,Hellas Verona,28,1993,30.4,141,4.63,92,19,9,9,9,3,20,0.66,16,1,2,1,0,0,Matches,54e53b7e
103,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,73,2.35,59,0,2,3,8,1,8,0.26,4,0,0,1,3,0,Matches,5bd72174
104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,6,3.46,5,0,0,1,0,0,2,1.15,2,0,0,0,0,0,Matches,5bd72174
105,Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,21,0.85,19,0,0,1,0,1,2,0.08,2,0,0,0,0,0,Matches,f7e2af2c
106,Nicolò Casale,it ITA,DF,Hellas Verona,23,1998,28.7,33,1.15,32,1,0,0,0,0,5,0.17,5,0,0,0,0,0,Matches,3f5f38fb
107,Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,96960855
108,Samu Castillejo,es ESP,FWMF,Milan,26,1995,1.4,10,7.09,6,0,0,2,2,0,3,2.13,1,0,0,1,1,0,Matches,130a7a3f
109,Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,50,3.23,36,6,2,1,4,1,5,0.32,5,0,0,0,0,0,Matches,0728bebe
110,Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,41,2.16,25,14,0,0,0,2,3,0.16,2,1,0,0,0,0,Matches,ba3d3bea
111,Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,20,0.58,12,0,0,5,0,3,1,0.03,0,0,0,1,0,0,Matches,4d1efb48
112,Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,25,0.95,22,0,0,1,1,1,2,0.08,2,0,0,0,0,0,Matches,d9624b51
113,Emil Ceide,no NOR,FWMF,Sassuolo,19,2001,0.6,1,1.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,98a84572
114,Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,11,0.69,8,0,0,2,0,1,1,0.06,0,0,0,1,0,0,Matches,7d50454d
115,Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,eade5337
116,Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ae7058f9
117,Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,22,1.46,18,0,0,2,0,2,2,0.13,1,0,0,0,0,1,Matches,e85fb9b8
118,Federico Chiesa,it ITA,MFFW,Juventus,23,1997,9.6,41,4.28,21,3,8,6,3,0,7,0.73,2,0,3,1,1,0,Matches,b0f7e36c
119,Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,10,0.39,7,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches,c316607a
120,Riccardo Ciervo,it ITA,MFDF,Sampdoria,19,2002,2.5,7,2.78,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,da77b60b
121,Moustapha Cissé,gn GUI,FW,Atalanta,17,2003,0.4,1,2.37,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,ee3c4b3f
122,Giorgio Cittadini,it ITA,DF,Atalanta,19,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e4ba67f2
123,Ebrima Colley,gm GAM,FWMF,Spezia,21,2000,4.4,12,2.74,6,1,2,2,1,0,0,0.00,0,0,0,0,0,0,Matches,bf356094
124,Omar Colley,gm GAM,DF,Sampdoria,28,1992,30.5,11,0.36,7,0,0,1,1,2,1,0.03,0,0,0,1,0,0,Matches,8b95acda
125,Andrea Consigli,it ITA,GK,Sassuolo,34,1987,36.9,7,0.19,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8cabdc1e
126,Andrea Conti,it ITA,DFMF,Sampdoria,27,1994,2.6,2,0.77,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8fef5412
127,Andrea Conti,it ITA,DF,Milan,27,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8fef5412
128,Diego Coppola,it ITA,DF,Hellas Verona,17,2003,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,22ae86f9
129,Joaquín Correa,ar ARG,FW,Inter,26,1994,11.4,43,3.78,32,0,5,5,1,0,5,0.44,3,0,1,1,0,0,Matches,45b9b619
130,Lassana Coulibaly,ml MLI,MF,Salernitana,25,1996,25.9,46,1.78,32,0,2,3,6,3,2,0.08,1,0,0,0,0,1,Matches,85a44ecc
131,Mamadou Coulibaly,sn SEN,MF,Salernitana,22,1999,9.0,24,2.68,18,1,2,1,2,0,2,0.22,0,0,1,1,0,0,Matches,c976160c
132,Alessio Cragno,it ITA,GK,Cagliari,27,1994,35.0,3,0.09,1,2,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches,f554e29b
133,Domenico Criscito,it ITA,DF,Genoa,34,1986,18.0,25,1.39,15,4,0,3,1,2,2,0.11,2,0,0,0,0,0,Matches,35dd6d80
134,Bryan Cristante,it ITA,MF,Roma,26,1995,29.8,61,2.05,51,0,0,7,1,2,1,0.03,0,0,0,1,0,0,Matches,16657b95
135,Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,35,1.68,28,0,2,3,1,1,1,0.05,1,0,0,0,0,0,Matches,22cd43d2
136,Giovanni Crociata,it ITA,FW,Empoli,23,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8c964914
137,Juan Cuadrado,co COL,DFMF,Juventus,33,1988,27.6,113,4.09,74,21,8,4,4,2,12,0.43,8,1,2,0,1,0,Matches,0ab1f153
