name,population
Plainview CDP,14
Plano city,58
Pleasant Hill city,"11,186"
Pleasant Plain city,83
Pleasanton city,32
Pleasantville city,"1,689"
Plover city,54
Plymouth city,364
Pocahontas city,"1,865"
Polk City city,"6,046"
Pomeroy city,513
Popejoy city,74
Portland CDP,15
Portsmouth city,185
Postville city,"2,452"
Prairie City city,"1,711"
Prairieburg city,155
Prescott city,187
Preston city,939
Primghar city,901
Princeton city,917
Promise City city,89
Protivin city,266
Pulaski city,259
Quasqueton city,587
Quimby city,244
Radcliffe city,545
Rake city,185
Ralston city,78
Randalia city,51
Randall city,155
Randolph city,184
Rathbun city,40
Raymond city,748
Readlyn city,855
Reasnor city,154
Red Oak city,"5,514"
Redding city,64
Redfield city,730
Reinbeck city,"1,658"
Rembrandt city,205
Remsen city,"1,667"
Renwick city,228
Rhodes city,269
Riceville city,803
Richland city,531
Rickardsville city,204
Ricketts city,106
Ridgeway city,267
Rinard city,31
Ringsted city,351
Rippey city,217
River Sioux CDP,37
Riverdale city,380
Riverside city,"1,048"
Riverton city,245
Robins city,"3,331"
Rochester CDP,62
Rock Falls city,146
Rock Rapids city,"2,674"
Rock Valley city,"4,076"
Rockford city,743
Rockwell City city,"2,205"
Rockwell city,"1,049"
Rodman city,29
Rodney city,45
Roland city,"1,358"
Rolfe city,509
Rome city,115
Rose Hill city,158
Roseville CDP,0
Rossie city,46
Rowan city,118
Rowley city,268
Royal city,380
Rudd city,348
Runnells city,448
Russell city,472
Ruthven city,713
Rutland city,116
Ryan city,347
Sabula city,493
Sac City city,"2,023"
Sageville city,89
Salem city,387
Salix city,292
Sanborn city,"1,427"
Sandusky CDP,349
Sandyville city,59
Saylorville CDP,"2,916"
Scarville city,77
Schaller city,718
Schleswig city,809
Scranton city,504
Searsboro city,127
Sergeant Bluff city,"5,253"
Sexton CDP,0
Seymour city,631
Shambaugh city,163
Shannon City city,71
Sharpsburg city,70
Sheffield city,"1,114"
Shelby city,718
Sheldahl city,301
Sheldon city,"5,465"
Shell Rock city,"1,279"
Shellsburg city,983
Shenandoah city,"4,887"
Sherrill city,180
Shueyville city,731
Sibley city,"2,787"
Sidney city,"1,037"
Sigourney city,"1,986"
Silver City city,245
Sioux Center city,"8,427"
Sioux City city,"85,497"
Sioux Rapids city,727
Slater city,"1,581"
Sloan city,"1,049"
Smithland city,182
Soldier city,179
Solon city,"3,150"
Somers city,121
South Amana CDP,109
South English city,198
Spencer city,"11,413"
Sperry CDP,105
Spillville city,374
Spirit Lake city,"5,516"
Spragueville city,90
Spring Hill city,68
Springbrook city,144
Springville city,"1,152"
St. Ansgar city,"1,165"
St. Anthony city,76
St. Benedict CDP,23
St. Charles city,649
St. Donatus city,120
St. Joseph CDP,70
St. Lucas city,167
St. Marys city,104
St. Olaf city,102
St. Paul city,104
Stacyville city,442
Stanhope city,355
Stanley city,86
Stanton city,670
Stanwood city,627
State Center city,"1,387"
Steamboat Rock city,263
Stockport city,274
Stockton city,173
Stone City CDP,100
Storm Lake city,"11,307"
Story City city,"3,373"
Stout city,192
Stratford city,691
Strawberry Point city,"1,149"
Struble city,68
Stuart city,"1,846"
Sully city,887
Sumner city,"2,036"
Sun Valley Lake CDP,186
Superior city,130
Sutherland city,618
Swaledale city,141
Swan city,77
Swea City city,550
Swedesburg CDP,95
Swisher city,912
Tabor city,986
Tama city,"3,064"
Templeton city,343
Tennant city,80
Terril city,324
Thayer city,49
Thompson city,495
Thor city,179
Thornburg city,47
Thornton city,396
Thurman city,162
Tiffin city,"5,808"
Tingley city,136
Tipton city,"3,094"
