,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
144,Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,921,37,132,364,439,82,921,28,45,62.2,63,38,589,89,Matches,68dc0dac
145,Emerson,br BRA,DFMF,Tottenham,22,1999,25.4,1739,98,575,659,520,56,1739,17,34,50.0,27,18,1014,91,Matches,df8b52a5
146,Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,737,18,137,373,236,12,737,8,16,50.0,18,9,475,17,Matches,980522ec
147,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,204,15,65,130,12,0,204,6,10,60.0,3,2,122,1,Matches,b579e83d
148,Jonny Evans,nir NIR,DF,Leicester City,33,1988,15.0,1145,154,632,483,37,11,1145,2,3,66.7,4,0,747,1,Matches,f8fcd2a5
149,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,374,4,48,189,142,10,374,14,23,60.9,20,10,259,29,Matches,ae4fc6a4
150,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37.0,1086,980,1083,3,0,0,1086,0,0,,0,1,414,0,Matches,9328b835
151,Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1782,41,340,1174,279,20,1780,11,15,73.3,24,13,1229,27,Matches,7f3b388c
152,Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,1410,103,452,562,413,11,1410,7,14,50.0,41,7,669,22,Matches,e5d01ecf
153,Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,7,0,0,2,5,1,7,0,0,,1,0,7,1,Matches,4596da74
154,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,5,0,4,1,0,0,5,0,0,,0,0,1,0,Matches,2f8d27bc
155,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,2425,64,359,1127,959,98,2423,26,52,50.0,46,40,1785,159,Matches,507c7bdf
156,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12.0,548,424,542,6,0,0,548,0,0,,1,0,278,0,Matches,f127d782
157,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,264,53,157,100,10,7,264,0,0,,1,0,169,1,Matches,f25b010f
158,Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,927,35,172,622,137,17,927,9,11,81.8,6,7,742,9,Matches,101da2b5
159,Roberto Firmino,br BRA,FW,Liverpool,29,1991,11.0,664,4,50,303,320,67,664,17,33,51.5,33,25,501,108,Matches,4c370d81
160,Junior Firpo,es ESP,DFMF,Leeds United,24,1996,19.0,1141,61,345,556,254,37,1141,16,28,57.1,17,7,666,45,Matches,24f59bb2
161,Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,14,1,2,5,7,2,14,0,0,,1,1,10,0,Matches,eeb6551f
162,Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,1282,6,65,423,803,134,1282,37,58,63.8,48,34,1015,165,Matches,ed1e53f3
163,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7.0,591,55,302,275,19,5,591,3,3,100.0,5,2,436,1,Matches,132a82f1
164,Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,1721,33,258,821,658,65,1721,23,54,42.6,47,28,1179,120,Matches,82927de4
165,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17.0,994,26,265,578,166,9,994,12,19,63.2,24,11,627,22,Matches,9f1938ab
166,Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,68,0,2,38,28,6,68,1,4,25.0,9,1,36,13,Matches,82c215a0
167,Fraser Forster,eng ENG,GK,Southampton,33,1988,19.0,673,513,669,4,0,0,673,0,0,,0,0,259,0,Matches,c3e39f12
168,Ben Foster,eng ENG,GK,Watford,38,1983,26.0,946,723,931,16,0,0,946,1,1,100.0,0,0,336,0,Matches,d0b3ceb9
169,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,10,0,0,3,7,3,10,0,0,,0,0,8,2,Matches,3dcef539
170,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,16.3,587,22,104,191,297,41,587,1,4,25.0,22,11,405,53,Matches,d56543a0
171,Fred,br BRA,MF,Manchester Utd,28,1993,22.5,1612,65,393,956,273,17,1612,21,36,58.3,41,25,1090,37,Matches,b853e0ad
172,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,170,14,50,77,44,2,170,0,1,0.0,2,1,99,6,Matches,c067631c
