,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
535,Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,14.7,458,14,40,242,179,50,457,2,10,20.0,44,8,352,60,Matches,4e9a0555
536,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4.0,128,114,128,0,0,0,128,0,0,,0,0,48,0,Matches,19e50035
537,Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,25.9,1776,61,308,1025,456,33,1776,19,26,73.1,23,23,1292,53,Matches,e61b8aee
538,Andriy Yarmolenko,ua UKR,FWMF,West Ham,31,1989,3.5,145,5,22,48,75,19,145,3,8,37.5,4,1,114,24,Matches,849c826a
539,Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,13.9,746,37,205,346,208,14,746,9,16,56.3,11,3,468,32,Matches,be927d03
540,Nathan Young-Coombes,eng ENG,MF,Brentford,18,2003,0.0,1,0,0,0,1,0,1,0,0,,1,0,1,0,Matches,f9682888
541,Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,30.7,1419,11,153,588,709,129,1412,75,152,49.3,124,110,1114,187,Matches,b2bc3b1f
542,Christoph Zimmermann,de GER,DF,Norwich City,28,1993,1.7,77,10,39,35,3,1,77,1,1,100.0,0,0,46,0,Matches,2d5f03bf
543,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,11.6,1158,24,187,619,360,21,1158,7,12,58.3,10,6,875,43,Matches,51cf8561
544,Hakim Ziyech,ma MAR,MFFW,Chelsea,28,1993,14.7,957,9,80,344,543,51,957,28,65,43.1,45,24,702,91,Matches,6622454d
545,Kurt Zouma,fr FRA,DF,West Ham,26,1994,23.1,1249,245,703,521,34,15,1249,1,3,33.3,6,0,773,2,Matches,ce4246f5
546,Martin Ødegaard,no NOR,MFFW,Arsenal,22,1998,30.9,1863,17,197,888,792,58,1863,25,46,54.3,39,48,1373,113,Matches,79300479
