,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
426,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,127,4.08,82,1,31,5,6,2,11,0.35,8,0,2,1,0,0,Matches,2b16cb1a
427,Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,17,0.57,15,0,0,1,0,1,1,0.03,0,0,0,0,0,1,Matches,9fbbcf39
428,Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,156,4.71,106,20,9,10,11,0,18,0.54,9,4,0,2,3,0,Matches,bc7dc64d
429,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,139,4.53,103,0,16,18,2,0,25,0.81,17,0,5,2,1,0,Matches,e342ad68
430,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33.0,34,1.03,27,1,0,3,0,3,5,0.15,2,0,0,1,0,2,Matches,0b33f6ad
431,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,39,3.09,35,0,0,1,1,2,0,0.00,0,0,0,0,0,0,Matches,1b4f1169
432,Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,22,1.21,19,0,0,1,0,2,2,0.11,1,0,0,0,0,1,Matches,da7b447d
433,Robert Sánchez,es ESP,GK,Brighton,23,1997,37.0,5,0.14,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6a713852
434,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,88,4.17,71,3,10,2,1,1,10,0.47,7,0,2,0,0,1,Matches,dbf053da
435,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4.0,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6e7f1353
436,Samir Santos,br BRA,DF,Watford,26,1994,18.6,7,0.38,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,92b4758e
437,Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,26,1.49,17,0,1,3,4,1,3,0.17,2,0,1,0,0,0,Matches,a8d4428b
438,Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ac0d576d
439,Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,49,2.37,35,0,5,2,6,1,4,0.19,3,0,0,1,0,0,Matches,bfdb33aa
440,Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,6,0.99,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4315f30d
441,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,21945a9e
442,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24.0,31,1.29,18,6,2,4,1,0,4,0.17,3,0,1,0,0,0,Matches,c8aa95da
443,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,47,2.29,33,0,6,4,3,1,7,0.34,3,0,1,1,2,0,Matches,3312f911
444,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37.0,6,0.16,6,0,0,0,0,0,3,0.08,3,0,0,0,0,0,Matches,53af52f3
445,Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,24,2.54,7,9,1,0,4,3,1,0.11,0,1,0,0,0,0,Matches,1770bd68
446,Nélson Semedo,pt POR,MFDF,Wolves,27,1993,23.7,43,1.82,32,1,5,2,2,1,1,0.04,1,0,0,0,0,0,Matches,d04b94db
447,Ryan Sessegnon,eng ENG,DFMF,Tottenham,21,2000,11.6,19,1.63,18,1,0,0,0,0,4,0.34,4,0,0,0,0,0,Matches,6aa3e78b
448,Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,11,1.40,8,1,0,1,0,1,1,0.13,0,0,0,1,0,0,Matches,8d03ca5a
449,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,69,3.88,44,21,1,0,0,3,6,0.34,5,1,0,0,0,0,Matches,9c94165b
450,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22.0,42,1.91,32,7,1,0,1,1,1,0.05,1,0,0,0,0,0,Matches,3727dd3c
451,Shola Shoretire,eng ENG,MF,Manchester Utd,17,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,00f0482f
452,Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,2,0.42,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0f933743
453,Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,139,4.38,109,2,10,9,6,3,17,0.54,13,1,0,2,1,0,Matches,3eb22ec9
454,Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,16,2.51,9,0,4,3,0,0,2,0.31,1,0,0,1,0,0,Matches,e7aa9d7c
455,Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,34,1.15,26,0,0,4,1,3,1,0.03,0,0,0,0,1,0,Matches,86e7deaf
456,Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,26d3b5be
457,Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,75,2.10,61,0,4,3,1,6,4,0.11,1,0,1,0,0,2,Matches,2acd49b9
