,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
93,Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0,Matches,02bcaf8e
94,Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,40,24,23,13,4,10,21,47.6,11,31,21,10,32,72,86,0,Matches,5b146df3
95,Jimmy Briand,fr FRA,FWMF,Bordeaux,35,1985,2.5,2,0,2,0,0,0,2,0.0,2,0,0,0,1,3,2,0,Matches,f83c8d6c
96,Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,47,29,33,13,1,20,31,64.5,11,32,19,13,40,87,78,1,Matches,edd81e2a
97,Osman Bukari,gh GHA,FWMF,Nantes,22,1998,11.2,18,8,7,6,5,8,22,36.4,14,8,0,8,8,26,1,0,Matches,eab85789
98,Maxime Busi,be BEL,DF,Reims,21,1999,14.4,26,15,20,5,1,19,36,52.8,17,19,5,14,17,43,28,0,Matches,7b082ec2
99,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,3,3,0,3,0,2,6,33.3,4,7,4,3,1,4,2,0,Matches,49712367
100,Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,db87a2c4
101,Rémy Cabella,fr FRA,MFFW,Montpellier,31,1990,3.5,15,7,4,8,3,5,15,33.3,10,7,0,7,5,20,1,0,Matches,148e136f
102,Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,81,44,59,15,7,47,83,56.6,36,29,0,29,32,113,30,0,Matches,46359159
103,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,65,34,35,24,6,33,55,60.0,22,23,4,19,33,98,49,1,Matches,0118c54c
104,Mathieu Cafaro,fr FRA,MFFW,Reims,24,1997,2.1,4,2,3,1,0,0,7,0.0,7,2,0,2,3,7,1,0,Matches,2a657da0
105,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,5,2,2,3,0,0,5,0.0,5,8,2,6,9,14,12,0,Matches,677ee102
106,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,9,1,Matches,5ee6e943
107,Jens Cajuste,se SWE,MFFW,Reims,21,1999,4.0,10,6,6,2,2,6,17,35.3,11,7,2,5,5,15,6,0,Matches,928a4a61
108,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,21,8,15,6,0,11,14,78.6,3,11,7,4,24,45,55,2,Matches,94f8d10c
109,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,7a72e960
110,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,23,1998,34.1,101,57,39,50,12,39,70,55.7,31,44,8,36,58,159,35,1,Matches,8577e60a
111,Mamadou Camara,fr FRA,FW,Troyes,20,2001,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,316e70c7
112,Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,4,1,2,1,1,2,5,40.0,3,1,1,0,1,5,3,0,Matches,7b9c2d84
