,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
55,Jeanöel Belocian,fr FRA,DF,Rennes,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c678ddd7
56,Hatem Ben Arfa,fr FRA,FWMF,Lille,34,1987,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,16.6,1,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,74dc806c
57,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1f6298f2
58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,25,64,36,56.3,2.28,1.28,0.27,0.47,14.7,4,8,8,20.2,13.9,0.22,+4.8,+3.1,Matches,942b4f90
59,Darío Benedetto,ar ARG,FWMF,Marseille,31,1990,0.6,0,3,0,0.0,5.00,0.00,0.00,,12.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,bef0a7ac
60,Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8a2248b4
61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f5b6fb78
62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,1,15,7,46.7,0.89,0.42,0.07,0.14,22.9,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,3189f61a
63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,0,1,0,0.0,0.29,0.00,0.00,,19.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,e4114f5d
64,Mitchell van Bergen,nl NED,FWMF,Reims,21,1999,10.9,0,12,5,41.7,1.10,0.46,0.00,0.00,18.0,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches,0b2c9aec
65,Valon Berisha,xk KVX,MFFW,Reims,28,1993,5.1,0,4,0,0.0,0.79,0.00,0.00,,16.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,d5575935
66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28dabd43
67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28dabd43
68,Juan Bernat,es ESP,DFMF,Paris S-G,28,1993,10.6,0,1,1,100.0,0.09,0.09,0.00,0.00,15.3,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches,433dc9a2
69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,380a15e2
70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,1,23,4,17.4,1.20,0.21,0.04,0.25,20.8,6,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,03e91055
