,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
115,Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,1841,58,378,1191,296,16,1841,37,58,63.8,50,26,1266,29,Matches,f81ef10d
116,Irvin Cardona,fr FRA,FWMF,Brest,23,1997,14.8,491,21,76,207,217,62,491,12,33,36.4,44,19,332,79,Matches,5e080f73
117,Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,927,45,228,404,310,18,927,13,25,52.0,30,11,510,51,Matches,e3e32fbb
118,Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,533,18,141,300,96,5,533,10,23,43.5,18,9,368,6,Matches,f54d2149
119,Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,1433,124,591,785,64,19,1433,7,8,87.5,6,5,839,3,Matches,e0f3a1f6
120,Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,2062,95,547,1041,491,52,2062,19,38,50.0,31,11,1234,71,Matches,31a62dc7
121,Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,1021,70,345,449,239,14,1021,29,56,51.8,36,14,563,31,Matches,3c6bbbab
122,Leonardo César Jardim,br BRA,GK,Lille,26,1995,17.0,,,,,,,,,,,,,,,Matches,f5dfc256
123,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,8,3,4,4,0,0,8,0,0,,0,0,6,0,Matches,2180c761
124,Nassim Chadli,fr FRA,MFDF,Troyes,20,2001,1.1,66,2,15,20,31,3,66,4,8,50.0,11,2,41,10,Matches,5c61496e
125,Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,10,0,2,2,6,3,10,0,0,,0,2,4,1,Matches,1787195f
126,Dylan Chambost,fr FRA,MFFW,Troyes,23,1997,8.4,554,9,119,325,115,9,554,2,3,66.7,9,4,381,20,Matches,dbde4959
127,Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,1595,251,902,652,53,17,1595,1,4,25.0,5,1,934,3,Matches,16aa7d4c
128,Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,1315,52,340,643,344,40,1315,14,26,53.8,37,14,867,56,Matches,279ddf6a
129,Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,119,7,35,57,28,5,119,2,2,100.0,1,1,64,3,Matches,279ddf6a
130,Rayan Cherki,fr FRA,FWMF,Lyon,17,2003,4.9,323,1,14,147,165,26,323,17,37,45.9,16,11,247,29,Matches,b34c63a5
131,Pedro Chirivella,es ESP,MF,Nantes,24,1997,29.3,1917,22,287,1293,346,21,1917,8,16,50.0,14,9,1380,42,Matches,68a26d51
132,Joris Chotard,fr FRA,MF,Montpellier,19,2001,32.6,1550,134,594,824,142,15,1550,8,21,38.1,30,5,944,16,Matches,7909ffa4
133,Alexis Claude-Maurice,fr FRA,MF,Nice,23,1998,2.3,142,1,12,59,71,11,142,3,8,37.5,5,5,95,11,Matches,741418c3
134,Jonathan Clauss,fr FRA,DF,Lens,28,1992,33.8,2194,66,427,819,985,61,2194,29,60,48.3,47,13,1147,130,Matches,5219ab4a
135,Marcus Coco,fr FRA,MFFW,Nantes,25,1996,10.3,482,20,118,197,176,19,482,14,26,53.8,26,23,292,41,Matches,3010aefb
136,Abdu Conté,pt POR,DF,Troyes,23,1998,15.0,719,24,261,276,192,14,719,11,19,57.9,21,8,423,38,Matches,cfa49cc1
137,Sébastien Corchia,fr FRA,DF,Nantes,30,1990,14.7,726,40,182,265,284,12,726,9,28,32.1,21,8,325,30,Matches,0e7ccfc4
138,Maxwel Cornet,ci CIV,DF,Lyon,24,1996,0.7,44,2,9,23,12,0,44,1,1,100.0,0,1,32,1,Matches,beb391dd
139,David Pereira da Costa,pt POR,MFFW,Lens,20,2001,16.3,935,7,106,460,380,56,935,24,37,64.9,29,24,744,78,Matches,59948ef7
140,Benoît Costil,fr FRA,GK,Bordeaux,34,1987,25.0,965,776,950,15,0,0,965,0,0,,1,1,396,0,Matches,2434f24a
141,Kalifa Coulibaly,ml MLI,FW,Nantes,29,1991,9.4,294,16,21,134,140,47,294,6,10,60.0,29,9,222,30,Matches,9980269a
142,Nicolas Cozza,fr FRA,DF,Montpellier,22,1999,30.8,1705,162,828,700,202,29,1705,18,33,54.5,48,14,1015,20,Matches,8f325097
143,Enzo Crivelli,fr FRA,FWMF,Saint-Étienne,26,1995,1.1,36,1,3,16,17,4,36,2,4,50.0,3,1,24,9,Matches,06f33dc8
144,Wylan Cyprien,fr FRA,MF,Nantes,26,1995,16.6,1061,22,195,642,241,12,1061,15,21,71.4,15,17,707,30,Matches,3e092724
145,Lucas Da Cunha,fr FRA,MF,Nice,20,2001,4.4,214,4,19,97,101,14,214,9,15,60.0,15,5,134,12,Matches,007faf7a
146,Lucas Da Cunha,fr FRA,FWMF,Clermont Foot,20,2001,9.3,428,6,60,200,173,25,428,19,40,47.5,17,24,309,48,Matches,007faf7a
147,Damien Da Silva,fr FRA,DF,Lyon,33,1988,12.5,1027,107,476,516,37,17,1027,1,2,50.0,6,0,758,1,Matches,1ec7e1c5
148,Colin Dagba,fr FRA,DF,Paris S-G,22,1998,1.8,153,4,16,77,60,5,153,2,4,50.0,1,3,123,4,Matches,29c02c9f
149,Flavius Daniliuc,at AUT,DF,Nice,20,2001,14.4,1013,73,426,517,83,10,1013,6,10,60.0,13,2,616,11,Matches,7ef972c3
150,Kevin Danso,at AUT,DF,Lens,22,1998,31.0,2170,228,1015,1131,40,17,2170,8,10,80.0,15,4,1434,0,Matches,6e33125f
151,Dante,br BRA,DF,Nice,37,1983,31.9,2681,249,1163,1475,53,24,2681,6,7,85.7,13,1,2016,0,Matches,fd2bc67d
152,Jonathan David,ca CAN,FW,Lille,21,2000,31.2,960,21,90,431,447,138,957,26,54,48.1,95,36,693,176,Matches,ce50fd99
153,Konrad De La Fuente,us USA,FWMF,Marseille,20,2001,8.7,325,3,38,69,227,46,325,21,37,56.8,17,21,245,44,Matches,4b77bb89
154,Romain Del Castillo,fr FRA,MFFW,Rennes,25,1996,0.3,21,0,1,14,7,1,21,2,3,66.7,1,1,15,1,Matches,0be95d34
155,Romain Del Castillo,fr FRA,MFFW,Brest,25,1996,10.8,591,3,62,275,264,25,591,20,43,46.5,48,23,403,58,Matches,0be95d34
156,Thomas Delaine,fr FRA,DF,Metz,29,1992,25.7,1418,53,384,637,422,27,1418,23,51,45.1,58,17,836,80,Matches,8332db56
157,Sacha Delaye,fr FRA,MFFW,Montpellier,19,2002,2.9,110,2,21,48,41,7,110,3,3,100.0,7,3,63,10,Matches,e4448c8c
158,Andy Delort,dz ALG,FW,Nice,29,1991,27.2,974,18,56,379,551,132,971,18,46,39.1,67,24,740,188,Matches,d33c706e
159,Andy Delort,dz ALG,FW,Montpellier,29,1991,3.0,134,4,9,58,67,18,134,1,1,100.0,10,2,100,16,Matches,d33c706e
160,Moussa Dembélé,fr FRA,FW,Lyon,25,1996,24.5,746,35,64,290,394,148,741,25,42,59.5,94,44,523,159,Matches,e7986081
161,Jason Denayer,be BEL,DF,Lyon,26,1995,11.1,843,104,453,383,9,6,843,2,2,100.0,3,1,629,1,Matches,47af88b8
162,Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,14.5,440,382,439,1,0,0,440,0,0,,0,0,181,0,Matches,e8c5dd4d
163,Ángel Di María,ar ARG,FW,Paris S-G,33,1988,18.3,1376,11,103,545,746,83,1376,31,61,50.8,46,16,1120,134,Matches,19cda00b
164,Yadaly Diaby,fr FRA,FWMF,Clermont Foot,20,2000,0.7,30,1,4,14,13,5,30,1,3,33.3,2,1,20,4,Matches,5630a6e0
165,Ibrahim Diakité,gn GUI,MF,Reims,17,2003,0.0,3,0,2,1,0,0,3,0,0,,0,0,1,0,Matches,d8c19a60
166,Abdou Diallo,sn SEN,DF,Paris S-G,25,1996,9.7,789,51,236,414,148,7,789,19,26,73.1,13,6,580,10,Matches,fc62f087
167,Habib Diallo,sn SEN,FW,Strasbourg,26,1995,17.1,566,25,51,240,280,87,564,17,33,51.5,69,24,433,123,Matches,6605d143
168,Mouhamadou Diarra,sn SEN,MF,Strasbourg,17,2004,1.2,68,0,2,56,10,0,68,1,1,100.0,0,2,48,1,Matches,6d0fe035
169,Stéphane Diarra,fr FRA,MFFW,Lorient,22,1998,5.8,271,1,26,121,134,24,271,15,31,48.4,12,11,185,40,Matches,29939a1d
170,Krepin Diatta,sn SEN,MFDF,Monaco,22,1999,3.2,138,2,13,61,66,13,138,6,7,85.7,9,3,98,15,Matches,8104e41e
171,Bamba Dieng,sn SEN,FW,Marseille,21,2000,10.8,311,7,32,110,171,66,310,5,17,29.4,25,13,228,75,Matches,40774c6b
172,Elhadji Dieye,sn SEN,FWMF,Saint-Étienne,19,2002,0.4,23,0,4,10,9,4,23,1,3,33.3,3,1,11,2,Matches,6a04bb7c
173,Javairô Dilrosun,nl NED,MFFW,Bordeaux,23,1998,19.2,790,6,63,371,371,43,790,46,71,64.8,38,24,554,87,Matches,34a0f5ff
