,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
334,Lenny Lacroix,fr FRA,DF,Metz,18,2003,2.2,2,0.90,1,0,0,1,0,0,1,0.45,0,0,0,1,0,0,Matches,5413ef36
335,Alban Lafont,fr FRA,GK,Nantes,22,1999,38.0,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,4e7db402
336,Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,23,1998,26.8,63,2.35,44,0,10,7,1,1,8,0.30,5,0,1,2,0,0,Matches,01870104
337,Didier Lamkel Zé,cm CMR,FW,Metz,24,1996,6.7,16,2.38,10,0,1,2,3,0,1,0.15,0,0,0,1,0,0,Matches,b229aa13
338,Julien Laporte,fr FRA,DF,Lorient,27,1993,32.1,13,0.40,10,1,0,0,0,2,1,0.03,1,0,0,0,0,0,Matches,f066022d
339,Yasser Larouci,dz ALG,DF,Troyes,20,2001,3.8,12,3.15,7,1,1,0,3,0,1,0.26,0,0,0,0,1,0,Matches,0ed063d6
340,Paul Lasne,fr FRA,MF,Brest,32,1989,9.4,20,2.13,16,0,0,1,3,0,1,0.11,1,0,0,0,0,0,Matches,542cc80f
341,Armand Lauriente,fr FRA,FWMF,Lorient,22,1998,27.5,98,3.56,57,5,11,16,6,3,8,0.29,4,0,2,2,0,0,Matches,2d22cea7
342,Théo Le Bris,fr FRA,MF,Lorient,18,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,afe39ca8
343,Jérémy Le Douaron,fr FRA,FWMF,Brest,23,1998,16.1,25,1.56,20,0,1,2,2,0,5,0.31,4,0,1,0,0,0,Matches,88c4d190
344,Enzo Le Fée,fr FRA,MFFW,Lorient,21,2000,24.4,103,4.22,59,24,5,3,6,6,8,0.33,4,1,1,0,2,0,Matches,6f806d99
345,Vincent Le Goff,fr FRA,DF,Lorient,31,1989,34.0,69,2.03,57,5,2,2,1,2,5,0.15,4,0,0,1,0,0,Matches,2321ea6e
346,Maxime Le Marchand,fr FRA,DF,Strasbourg,31,1989,9.6,8,0.84,4,0,0,0,0,4,1,0.10,1,0,0,0,0,0,Matches,321a71a7
347,Jean-Louis Leca,fr FRA,GK,Lens,35,1985,25.7,1,0.04,0,1,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches,edbe46dc
348,Félix Lemaréchal,ci CIV,MF,Monaco,17,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8ca9415f
349,Mario Lemina,ga GAB,MF,Nice,27,1993,21.9,34,1.56,26,0,0,0,4,4,2,0.09,1,0,0,0,1,0,Matches,2b471f99
350,Fabien Lemoine,fr FRA,MF,Lorient,34,1987,12.4,22,1.77,20,2,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,54d51e22
351,Léo Leroy,fr FRA,MF,Montpellier,21,2000,7.0,8,1.15,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fcc84a07
352,Alexandre Letellier,fr FRA,GK,Paris S-G,30,1990,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,96fcd380
353,Yanis Lhery,fr FRA,FWMF,Saint-Étienne,18,2003,0.8,3,3.75,0,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches,cc972842
354,Dimitri Liénard,fr FRA,DFMF,Strasbourg,33,1988,22.7,69,3.04,39,24,0,3,2,1,10,0.44,7,1,0,1,1,0,Matches,f7691f63
355,Isaac Lihadji,fr FRA,MFFW,Lille,19,2002,2.6,18,6.86,13,1,1,1,2,0,4,1.53,3,0,0,0,1,0,Matches,57a46f3f
356,Pol Lirola,es ESP,DFFW,Marseille,23,1997,19.7,55,2.80,50,2,1,2,0,0,4,0.20,4,0,0,0,0,0,Matches,ff800ed8
357,Banzouzi Locko,fr FRA,MFDF,Reims,19,2002,11.2,18,1.60,14,1,2,0,0,1,6,0.53,5,1,0,0,0,0,Matches,40221fa7
358,Anthony Lopes,pt POR,GK,Lyon,30,1990,33.1,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f00de885
359,Pau López,es ESP,GK,Marseille,26,1994,29.0,6,0.21,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,20b9f052
360,Dion Lopy,sn SEN,MF,Reims,19,2002,18.2,24,1.32,17,1,4,0,0,2,2,0.11,2,0,0,0,0,0,Matches,64c14d49
361,Samuel Loric,fr FRA,DF,Lorient,21,2000,3.0,3,1.00,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,9004f318
362,Jordan Lotomba,ch SUI,DF,Nice,22,1998,19.8,35,1.77,28,1,4,1,1,0,3,0.15,3,0,0,0,0,0,Matches,fc4cf6a7
363,Johaneko Louisjean,fr FRA,DF,Bordeaux,17,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9af3613f
364,Jean Lucas,br BRA,MF,Monaco,23,1998,16.1,37,2.30,18,10,7,1,0,1,2,0.12,2,0,0,0,0,0,Matches,a99138af
