,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
106,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,2350,156,709,1294,367,29,2350,19,27,70.4,33,14,1597,26,Matches,4d224fe8
107,Kiko Casilla,es ESP,GK,Elche,34,1986,14.0,516,433,514,2,0,0,516,0,0,,1,0,181,0,Matches,58bc7d18
108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36.0,2046,296,1136,862,57,42,2046,5,5,100.0,9,6,1230,6,Matches,274ab13c
109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,309,7,68,172,75,9,309,5,11,45.5,10,1,246,8,Matches,c0617e2b
110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20.0,1052,15,203,458,401,48,1052,20,39,51.3,46,21,591,64,Matches,5e1028e5
111,Chapela,es ESP,MFFW,Cádiz,22,1999,4.4,127,7,41,52,39,5,127,3,5,60.0,8,3,65,8,Matches,9ed40a69
112,Chema,es ESP,MF,Getafe,29,1992,0.5,17,1,5,10,2,0,17,0,0,,0,0,7,1,Matches,7f203b54
113,Denis Cheryshev,ru RUS,MFFW,Valencia,30,1990,6.3,247,8,43,89,121,24,247,6,11,54.5,16,3,124,25,Matches,0ac94a23
114,Samuel Chukwueze,ng NGA,MFFW,Villarreal,22,1999,14.8,665,4,71,236,376,108,665,67,126,53.2,47,20,511,79,Matches,b8a642fc
115,Víctor Chust,es ESP,DF,Cádiz,21,2000,20.3,984,124,523,427,41,18,984,4,5,80.0,3,1,564,0,Matches,ec1a731e
116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,482,401,480,2,0,0,482,0,0,,0,0,178,0,Matches,04ac8285
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,12.2,695,42,195,434,75,6,695,10,15,66.7,12,11,370,8,Matches,9a0408b6
118,Carlos Clerc,es ESP,DF,Levante,29,1992,16.8,1023,51,373,458,207,15,1023,23,33,69.7,15,6,572,26,Matches,33a61a52
119,Coke,es ESP,DF,Levante,34,1987,1.3,85,8,40,25,22,3,85,2,3,66.7,1,0,39,1,Matches,6d8f8441
120,Álex Collado,es ESP,MFFW,Granada,22,1999,11.3,543,13,82,239,232,18,543,14,38,36.8,29,19,307,27,Matches,85dace26
121,Eray Cömert,ch SUI,DF,Valencia,23,1998,4.5,229,21,119,106,6,4,229,0,0,,3,0,143,1,Matches,15937e17
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,29.8,1835,68,402,1137,325,58,1835,48,64,75.0,45,35,1175,45,Matches,5ae499d0
123,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,6,5,6,0,0,0,6,0,0,,0,0,2,0,Matches,4eae5bc4
124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,9.2,585,19,96,303,194,21,585,17,20,85.0,13,17,415,40,Matches,a6951bf8
125,Jesús Corona,mx MEX,FWDF,Sevilla,28,1993,12.9,729,6,107,277,349,50,729,19,44,43.2,36,29,557,65,Matches,fb938d24
126,Ángel Correa,ar ARG,FWMF,Atlético Madrid,26,1995,20.6,888,6,85,338,476,127,888,32,55,58.2,73,48,669,129,Matches,01eb744d
127,Thierry Correia,pt POR,DF,Valencia,22,1999,15.7,824,38,276,317,237,13,824,11,22,50.0,28,8,380,32,Matches,c78b352d
128,Hélder Costa,ao ANG,MFFW,Valencia,27,1994,12.4,451,12,96,143,221,31,451,23,58,39.7,35,22,274,44,Matches,f13d02a6
129,Jaume Costa,es ESP,DF,Mallorca,33,1988,20.3,1182,71,340,473,381,19,1182,9,14,64.3,15,6,606,51,Matches,808d48f3
130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36.0,1203,1037,1197,6,0,0,1203,0,0,,1,0,659,0,Matches,1840e36d
131,Philippe Coutinho,br BRA,MFFW,Barcelona,29,1992,5.6,399,4,24,159,220,23,398,13,19,68.4,19,16,346,38,Matches,0ef89a37
132,Cristo,es ESP,DF,Real Sociedad,21,2000,0.2,14,0,3,6,5,0,14,0,2,0.0,0,0,8,1,Matches,ad81ba78
133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,21.5,1091,97,457,576,70,6,1091,10,13,76.9,10,11,638,3,Matches,a56da3ba
134,Marc Cucurella,es ESP,MFDF,Getafe,23,1998,0.3,25,0,2,7,18,2,25,1,1,100.0,0,0,14,2,Matches,1daec722
135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,29.8,1438,177,746,653,48,26,1438,3,6,50.0,14,3,713,3,Matches,0abc51f2
136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,11.8,375,12,37,163,180,58,375,7,12,58.3,33,12,241,61,Matches,dc62b55d
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,34.7,2007,60,388,1187,463,39,2007,53,77,68.8,38,32,1525,55,Matches,070a3904
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,23.9,1641,29,276,978,409,19,1641,25,38,65.8,35,31,1156,39,Matches,162efffd
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,17.2,966,63,281,536,154,24,966,6,9,66.7,11,6,631,17,Matches,fe641c1a
140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,15.7,1004,5,61,316,637,84,1004,59,90,65.6,37,28,803,95,Matches,b19db005
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,2.1,111,2,16,29,68,9,111,5,9,55.6,8,5,79,12,Matches,fa265f6d
142,Memphis Depay,nl NED,FW,Barcelona,27,1994,20.6,1166,7,51,434,690,125,1161,45,74,60.8,76,34,916,202,Matches,8f696594
143,Sergiño Dest,us USA,DFFW,Barcelona,20,2000,16.8,1160,27,250,522,409,47,1160,37,66,56.1,33,24,840,64,Matches,5976f83e
144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,14.1,370,3,35,152,190,75,370,11,21,52.4,33,21,287,89,Matches,244bc2c8
145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,21.6,974,154,506,418,60,20,974,13,19,68.4,15,4,442,5,Matches,d2110326
146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1.0,35,32,35,0,0,0,35,0,0,,0,0,23,0,Matches,17a1299d
147,Víctor Díaz,es ESP,DF,Granada,33,1988,16.7,849,116,442,355,58,13,849,4,8,50.0,5,0,461,4,Matches,3624ce4c
148,Landry Dimata,be BEL,FWMF,Espanyol,23,1997,6.0,164,8,14,80,71,20,164,6,10,60.0,24,10,129,31,Matches,b5f63410
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,1017,871,1010,7,0,0,1017,0,0,,0,0,366,0,Matches,fc70e345
150,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38.0,1534,1311,1521,11,2,0,1534,0,0,,2,0,717,0,Matches,b6160ad0
151,Djené,tg TOG,DF,Getafe,29,1991,34.6,1648,186,777,781,100,12,1648,18,18,100.0,32,9,874,2,Matches,a4971d84
152,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,21,1999,2.4,126,4,16,48,63,7,126,3,7,42.9,9,5,92,11,Matches,3594a357
153,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6.0,238,208,237,1,0,0,238,0,0,,1,0,131,0,Matches,ac295d9e
154,Jaume Doménech,es ESP,GK,Valencia,30,1990,3.8,115,99,113,2,0,0,115,0,0,,0,0,31,0,Matches,c9cb972b
155,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,3.8,203,24,122,79,3,2,203,1,1,100.0,2,0,120,0,Matches,3521abfe
156,Mario Dominguez,es ESP,FW,Valencia,17,2004,0.3,4,1,2,1,1,0,4,0,0,,0,0,2,1,Matches,d709cd5c
157,John Donald,es ESP,DF,Elche,20,2000,2.0,111,9,54,53,5,2,111,1,1,100.0,1,0,63,1,Matches,5e95c000
158,Domingos Duarte,pt POR,DF,Granada,26,1995,18.7,903,139,491,395,23,14,903,2,3,66.7,6,1,485,3,Matches,93090f69
159,Óscar Duarte,cr CRC,DF,Levante,32,1989,19.7,1172,206,684,465,30,25,1172,1,2,50.0,5,1,703,1,Matches,aa0ac32d
160,Rubén Duarte,es ESP,DF,Alavés,25,1995,29.1,1650,99,529,732,403,18,1650,5,9,55.6,20,7,692,17,Matches,1fe0492d
161,Unai Dufur,es ESP,DF,Osasuna,22,1999,1.0,62,6,16,43,3,2,62,0,0,,0,0,34,0,Matches,c261b5dd
162,Hugo Duro,es ESP,DFMF,Getafe,21,1999,0.1,7,0,0,1,6,4,7,0,0,,0,0,5,1,Matches,37e103f8
163,Hugo Duro,es ESP,FWMF,Valencia,21,1999,20.4,620,25,85,247,292,62,620,13,25,52.0,57,32,408,76,Matches,37e103f8
164,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,23.4,1388,162,682,645,71,14,1388,6,7,85.7,11,1,818,6,Matches,f7dc2ae5
165,Adri Embarba,es ESP,FWMF,Espanyol,29,1992,22.1,1068,35,191,357,536,45,1068,41,80,51.3,56,38,622,80,Matches,db8f0eba
166,Emerson,br BRA,DF,Barcelona,22,1999,1.0,77,1,17,47,13,0,77,0,1,0.0,0,0,54,3,Matches,df8b52a5
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,14.2,328,22,48,144,139,58,327,4,14,28.6,25,12,210,57,Matches,04e17fd5
168,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,14.4,579,37,138,333,114,24,579,7,9,77.8,14,14,255,14,Matches,3f79a1c8
169,Aarón Escandell,es ESP,GK,Granada,25,1995,3.2,137,115,137,0,0,0,137,0,0,,0,0,34,0,Matches,67669ce7
170,Sergio Escudero,es ESP,DFMF,Granada,31,1989,15.9,930,48,283,441,211,14,930,3,12,25.0,19,10,409,22,Matches,b0616e3d
171,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37.0,2181,147,770,927,528,46,2181,24,47,51.1,43,21,961,79,Matches,db001fa9
172,Estanis,es ESP,FW,Barcelona,17,2003,0.1,4,0,2,2,0,0,4,0,0,,1,0,1,0,Matches,ace50e9f
173,Pervis Estupiñán,ec ECU,DF,Villarreal,23,1998,17.5,1230,50,346,494,404,30,1230,17,35,48.6,26,14,734,65,Matches,d38fdf53
174,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,19,2001,6.4,299,1,42,77,189,52,299,34,59,57.6,23,12,212,42,Matches,bed68338
175,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,9.3,279,12,19,136,125,41,279,3,10,30.0,31,11,229,42,Matches,66116290
176,Fali,es ESP,DFMF,Cádiz,27,1993,20.0,899,122,461,383,57,13,899,1,1,100.0,10,3,454,2,Matches,72a84002
